"ID","Name","Designator","Footprint","Quantity","Manufacturer Part","Manufacturer","Supplier","Supplier Part","Price","Pins","JLCPCB Part Class"
"1","2.2uF","C1,C2","C0402","2","CL05A225KO5NQNC","SAMSUNG(三星)","LCSC","C170151","0.03","2","Extended Part"
"2","100nF","C3,C4,C5,C6,C7,C8","C0402","6","CC0402KRX7R7BB104","YAGEO(国巨)","LCSC","C60474","0.005","2","Extended Part"
"3","USBLC6-2SC6","D1,D2","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","2","USBLC6-2SC6","ST(意法半导体)","LCSC","C7519","0.184","6","Extended Part"
"4","SS34_C8678","D3","SMA_L4.3-W2.6-LS5.2-RD","1","SS34","MDD(辰达半导体)","LCSC","C8678","0.036","2","Basic Part"
"5","DO2309A","Q1","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","1","DO2309A","DOINGTER(杜因特)","LCSC","C47018570","0.041","3","Extended Part"
"6","MMBT3904_C84104","Q2","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","1","MMBT3904","ST(先科)","LCSC","C84104","0.01","3","Extended Part"
"7","100kΩ","R1,R10,R16","R0402","3","RC0402FR-07100KL","YAGEO(国巨)","LCSC","C60491","0.004","2","Extended Part"
"8","330Ω","R2,R3,R4,R5,R14","R0402","5","0402WGF3300TCE","UNI-ROYAL(厚声)","LCSC","C25104","0.004","2","Basic Part"
"9","10kΩ","R6,R13,R17","R0402","3","0402WGF1002TCE","UNI-ROYAL(厚声)","LCSC","C25744","0.003","2","Basic Part"
"10","49.9Ω","R7,R8","R0402","2","0402WGF499JTCE","UNI-ROYAL(厚声)","LCSC","C25120","0.003","2","Basic Part"
"11","20mΩ","R9","R1206","1","HoYLR1206-1W-20mR-1%","Milliohm(毫欧)","LCSC","C5375397","0.033","2","Extended Part"
"12","6.49kΩ","R11","R0603","1","RT0603BRD076K49L","YAGEO(国巨)","LCSC","C861534","0.035","2","Extended Part"
"13","64.9kΩ","R12","R0603","1","RT0603BRD0764K9L","YAGEO(国巨)","LCSC","C861510","0.058","2","Extended Part"
"14","JS203011SCQN","SW1","SW-SMD_JS203011SCQN","1","JS203011SCQN","C&K","LCSC","C2799350","1.279","8","Extended Part"
"15","MHPA3528FRGBCT-Mode","U2","LED-SMD_4P-L3.5-W2.8_MHPA3528FRGBCT","1","MHPA3528FRGBCT","MEIHUA(美华)","LCSC","C7470879","0.083","4","Extended Part"
"16","MHPA3528FRGBCT-Power","U3","LED-SMD_4P-L3.5-W2.8_MHPA3528FRGBCT","1","MHPA3528FRGBCT","MEIHUA(美华)","LCSC","C7470879","0.083","4","Extended Part"
"17","INA199A3DCKR","U4","SOT-363_L2.0-W1.3-P0.65-LS2.1-BR","1","INA199A3DCKR","TI(德州仪器)","LCSC","C132098","0.487","6","Extended Part"
"18","LMV393IDR","U5","SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL","1","LMV393IDR","TI(德州仪器)","LCSC","C7984","0.378","8","Extended Part"
"19","TS3USB30EDGSR","U6","VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL","1","TS3USB30EDGSR","TI(德州仪器)","LCSC","C131998","0.798","10","Extended Part"
"20","74LVC139D,118","U7","SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL","1","74LVC139D,118","Nexperia(安世)","LCSC","C6063","0.46","16","Extended Part"
"21","TLV75533PDBVR","U8","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","1","TLV75533PDBVR","TI(德州仪器)","LCSC","C404027","0.164","5","Extended Part"
"22","SN74LVC1G04DBVR","U9","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","1","SN74LVC1G04DBVR","TI(德州仪器)","LCSC","C7827","0.095","5","Extended Part"
"23","SN74LVC1G08DBVR","U10","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","1","SN74LVC1G08DBVR","TI(德州仪器)","LCSC","C7666","0.052","5","Extended Part"
"24","MALE","USB1","USB-SMD_AM180","1","AM 180°","SHOU HAN(首韩)","LCSC","C2681564","0.072","5","Extended Part"
"25","FEMALE","USB2","USB-A-SMD_11.0180CB1.9","1","11.0 180°CB1.9","SHOU HAN(首韩)","LCSC","C6386903","0.066","5","Extended Part"
